"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409937","3.2.2.4","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409938","3.2.2.5","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409939","3.2.2.6","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409940","3.2.3.1","71.4","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409941","3.2.3.2","60.3","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409942","3.2.3.3","80.5","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409943","3.2.3.4","153","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409944","3.2.3.5","131","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409945","3.2.3.6","175","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409946","3.3.1.1","14.7","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409947","3.3.1.2","10.1","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409948","3.3.1.3","20.7","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409949","3.3.1.4","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409950","3.3.1.5","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409951","3.3.1.6","","F","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409952","3.3.2.1","38.0","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Women","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409953","3.3.2.2","31.1","","","","1"
