Geography,Population,Labour_Metric,Sex,Year,Indicator,Value
Canada,Non-Indigenous population,Employment 7,Males,2021,Persons,"9,608.80"
Canada,Non-Indigenous population,Employment 7,Females,2021,Persons,"8,616.80"
Canada,Non-Indigenous population,Unemployment 8,Both sexes,2021,Persons,"1,464.00"
Canada,Non-Indigenous population,Unemployment 8,Males,2021,Persons,789.4
Canada,Non-Indigenous population,Unemployment 8,Females,2021,Persons,674.6
Canada,Non-Indigenous population,Not in labour force 9,Both sexes,2021,Persons,"10,440.50"
Canada,Non-Indigenous population,Not in labour force 9,Males,2021,Persons,"4,493.30"
Canada,Non-Indigenous population,Not in labour force 9,Females,2021,Persons,"5,947.30"
Canada,Non-Indigenous population,Population 5,Both sexes,2022,Persons,"30,533.60"
Canada,Non-Indigenous population,Population 5,Males,2022,Persons,"15,089.60"
Canada,Non-Indigenous population,Population 5,Females,2022,Persons,"15,444.10"
Canada,Non-Indigenous population,Labour force 6,Both sexes,2022,Persons,"19,947.90"
Canada,Non-Indigenous population,Labour force 6,Males,2022,Persons,"10,476.70"
Canada,Non-Indigenous population,Labour force 6,Females,2022,Persons,"9,471.20"
Canada,Non-Indigenous population,Employment 7,Both sexes,2022,Persons,"18,906.80"
Canada,Non-Indigenous population,Employment 7,Males,2022,Persons,"9,918.70"
Canada,Non-Indigenous population,Employment 7,Females,2022,Persons,"8,988.10"
Canada,Non-Indigenous population,Unemployment 8,Both sexes,2022,Persons,"1,041.10"
Canada,Non-Indigenous population,Unemployment 8,Males,2022,Persons,557.9
Canada,Non-Indigenous population,Unemployment 8,Females,2022,Persons,483.1
Canada,Non-Indigenous population,Not in labour force 9,Both sexes,2022,Persons,"10,585.70"
Canada,Non-Indigenous population,Not in labour force 9,Males,2022,Persons,"4,612.90"
Canada,Non-Indigenous population,Not in labour force 9,Females,2022,Persons,"5,972.80"
Canada,Non-Indigenous population,Population 5,Both sexes,2023,Persons,"31,224.40"
Canada,Non-Indigenous population,Population 5,Males,2023,Persons,"15,451.60"
Canada,Non-Indigenous population,Population 5,Females,2023,Persons,"15,772.80"
Canada,Non-Indigenous population,Labour force 6,Both sexes,2023,Persons,"20,473.90"
Canada,Non-Indigenous population,Labour force 6,Males,2023,Persons,"10,763.20"
Canada,Non-Indigenous population,Labour force 6,Females,2023,Persons,"9,710.60"
Canada,Non-Indigenous population,Employment 7,Both sexes,2023,Persons,"19,385.90"
Canada,Non-Indigenous population,Employment 7,Males,2023,Persons,"10,176.00"
Canada,Non-Indigenous population,Employment 7,Females,2023,Persons,"9,209.90"
Canada,Non-Indigenous population,Unemployment 8,Both sexes,2023,Persons,"1,088.00"
Canada,Non-Indigenous population,Unemployment 8,Males,2023,Persons,587.2
Canada,Non-Indigenous population,Unemployment 8,Females,2023,Persons,500.8
Canada,Non-Indigenous population,Not in labour force 9,Both sexes,2023,Persons,"10,750.60"
Canada,Non-Indigenous population,Not in labour force 9,Males,2023,Persons,"4,688.40"
Canada,Non-Indigenous population,Not in labour force 9,Females,2023,Persons,"6,062.20"
Canada,Non-Indigenous population,Population 5,Both sexes,2024,Persons,"32,299.80"
Canada,Non-Indigenous population,Population 5,Males,2024,Persons,"16,032.40"
Canada,Non-Indigenous population,Population 5,Females,2024,Persons,"16,267.40"
Canada,Non-Indigenous population,Labour force 6,Both sexes,2024,Persons,"21,064.20"
Canada,Non-Indigenous population,Labour force 6,Males,2024,Persons,"11,121.60"
Canada,Non-Indigenous population,Labour force 6,Females,2024,Persons,"9,942.60"
Canada,Non-Indigenous population,Employment 7,Both sexes,2024,Persons,"19,754.60"
Canada,Non-Indigenous population,Employment 7,Males,2024,Persons,"10,398.40"
Canada,Non-Indigenous population,Employment 7,Females,2024,Persons,"9,356.20"
Canada,Non-Indigenous population,Unemployment 8,Both sexes,2024,Persons,"1,309.50"
Canada,Non-Indigenous population,Unemployment 8,Males,2024,Persons,723.2
Canada,Non-Indigenous population,Unemployment 8,Females,2024,Persons,586.4
Canada,Non-Indigenous population,Not in labour force 9,Both sexes,2024,Persons,"11,235.60"
Canada,Non-Indigenous population,Not in labour force 9,Males,2024,Persons,"4,910.80"
Canada,Non-Indigenous population,Not in labour force 9,Females,2024,Persons,"6,324.80"
Canada,Non-Indigenous population,Unemployment rate 10,Both sexes,2020,Percentage,9.5
Canada,Non-Indigenous population,Unemployment rate 10,Males,2020,Percentage,9.6
Canada,Non-Indigenous population,Unemployment rate 10,Females,2020,Percentage,9.4
Canada,Non-Indigenous population,Participation rate 11,Both sexes,2020,Percentage,64.3
Canada,Non-Indigenous population,Participation rate 11,Males,2020,Percentage,69
Canada,Non-Indigenous population,Participation rate 11,Females,2020,Percentage,59.8
Canada,Non-Indigenous population,Employment rate 12,Both sexes,2020,Percentage,58.2
Canada,Non-Indigenous population,Employment rate 12,Males,2020,Percentage,62.3
Canada,Non-Indigenous population,Employment rate 12,Females,2020,Percentage,54.1
Canada,Non-Indigenous population,Unemployment rate 10,Both sexes,2021,Percentage,7.4
Canada,Non-Indigenous population,Unemployment rate 10,Males,2021,Percentage,7.6
Canada,Non-Indigenous population,Unemployment rate 10,Females,2021,Percentage,7.3
Canada,Non-Indigenous population,Participation rate 11,Both sexes,2021,Percentage,65.3
Canada,Non-Indigenous population,Participation rate 11,Males,2021,Percentage,69.8
Canada,Non-Indigenous population,Participation rate 11,Females,2021,Percentage,61
Canada,Non-Indigenous population,Employment rate 12,Both sexes,2021,Percentage,60.5
Canada,Non-Indigenous population,Employment rate 12,Males,2021,Percentage,64.5
Canada,Non-Indigenous population,Employment rate 12,Females,2021,Percentage,56.5
Canada,Non-Indigenous population,Unemployment rate 10,Both sexes,2022,Percentage,5.2
Canada,Non-Indigenous population,Unemployment rate 10,Males,2022,Percentage,5.3
Canada,Non-Indigenous population,Unemployment rate 10,Females,2022,Percentage,5.1
Canada,Non-Indigenous population,Participation rate 11,Both sexes,2022,Percentage,65.3
Canada,Non-Indigenous population,Participation rate 11,Males,2022,Percentage,69.4
Canada,Non-Indigenous population,Participation rate 11,Females,2022,Percentage,61.3
Canada,Non-Indigenous population,Employment rate 12,Both sexes,2022,Percentage,61.9
Canada,Non-Indigenous population,Employment rate 12,Males,2022,Percentage,65.7
Canada,Non-Indigenous population,Employment rate 12,Females,2022,Percentage,58.2
Canada,Non-Indigenous population,Unemployment rate 10,Both sexes,2023,Percentage,5.3
Canada,Non-Indigenous population,Unemployment rate 10,Males,2023,Percentage,5.5
Canada,Non-Indigenous population,Unemployment rate 10,Females,2023,Percentage,5.2
Canada,Non-Indigenous population,Participation rate 11,Both sexes,2023,Percentage,65.6
Canada,Non-Indigenous population,Participation rate 11,Males,2023,Percentage,69.7
Canada,Non-Indigenous population,Participation rate 11,Females,2023,Percentage,61.6
Canada,Non-Indigenous population,Employment rate 12,Both sexes,2023,Percentage,62.1
Canada,Non-Indigenous population,Employment rate 12,Males,2023,Percentage,65.9
Canada,Non-Indigenous population,Employment rate 12,Females,2023,Percentage,58.4
Canada,Non-Indigenous population,Unemployment rate 10,Both sexes,2024,Percentage,6.2
Canada,Non-Indigenous population,Unemployment rate 10,Males,2024,Percentage,6.5
Canada,Non-Indigenous population,Unemployment rate 10,Females,2024,Percentage,5.9
Canada,Non-Indigenous population,Participation rate 11,Both sexes,2024,Percentage,65.2
Canada,Non-Indigenous population,Participation rate 11,Males,2024,Percentage,69.4
Canada,Non-Indigenous population,Participation rate 11,Females,2024,Percentage,61.1
Canada,Non-Indigenous population,Employment rate 12,Both sexes,2024,Percentage,61.2
Canada,Non-Indigenous population,Employment rate 12,Males,2024,Percentage,64.9
Canada,Non-Indigenous population,Employment rate 12,Females,2024,Percentage,57.5
Atlantic region,Total population,Population 5,Both sexes,2020,Persons,"2,039.00"
Atlantic region,Total population,Population 5,Males,2020,Persons,994.1
Atlantic region,Total population,Population 5,Females,2020,Persons,"1,044.90"
Atlantic region,Total population,Labour force 6,Both sexes,2020,Persons,"1,220.80"
Atlantic region,Total population,Labour force 6,Males,2020,Persons,628.3
Atlantic region,Total population,Labour force 6,Females,2020,Persons,592.5
Atlantic region,Total population,Employment 7,Both sexes,2020,Persons,"1,086.90"
Atlantic region,Total population,Employment 7,Males,2020,Persons,549.4
Atlantic region,Total population,Employment 7,Females,2020,Persons,537.5
Atlantic region,Total population,Unemployment 8,Both sexes,2020,Persons,133.9
Atlantic region,Total population,Unemployment 8,Males,2020,Persons,78.9
Atlantic region,Total population,Unemployment 8,Females,2020,Persons,55
Atlantic region,Total population,Not in labour force 9,Both sexes,2020,Persons,818.2
Atlantic region,Total population,Not in labour force 9,Males,2020,Persons,365.8
Atlantic region,Total population,Not in labour force 9,Females,2020,Persons,452.4
Atlantic region,Total population,Population 5,Both sexes,2021,Persons,"2,051.70"
Atlantic region,Total population,Population 5,Males,2021,Persons,"1,000.10"
Atlantic region,Total population,Population 5,Females,2021,Persons,"1,051.50"
